cow_id,date,milk_yield_liters,milk_conductivity_ms_cm,cow_activity,environment_temperature_c,milk_temperature_c,humidity_percent,previous_mastitis,days_since_last_mastitis,mastitis_today
COW_001,2026-02-04,22.53,6.07,334.5,20.0,38.18,58.7,1,5,0
COW_001,2026-02-05,22.42,6.44,332.7,25.6,38.47,69.4,1,6,0
COW_001,2026-02-06,20.95,5.89,325.0,23.8,38.58,58.5,1,7,0
COW_001,2026-02-07,21.2,5.84,336.3,20.9,38.61,67.6,1,8,0
COW_001,2026-02-08,22.48,6.21,339.1,24.5,38.45,60.1,1,9,0
COW_001,2026-02-09,21.95,5.45,346.7,22.4,38.34,63.7,1,10,0
COW_001,2026-02-10,22.13,6.02,365.6,24.7,38.49,56.9,1,11,0
COW_001,2026-02-11,23.03,5.98,330.2,20.9,38.67,55.7,1,12,0
COW_001,2026-02-12,21.3,5.75,363.3,22.1,38.59,56.9,1,13,0
COW_001,2026-02-13,22.01,6.07,333.1,26.1,38.44,57.2,1,14,0
COW_001,2026-02-14,20.54,5.97,352.0,20.2,38.35,54.0,1,15,0
COW_001,2026-02-15,22.31,6.65,357.8,22.2,38.31,51.1,1,16,0
COW_001,2026-02-16,23.19,5.41,285.0,22.2,38.42,52.7,1,17,0
COW_001,2026-02-17,23.87,6.21,343.9,24.4,38.4,58.2,1,18,0
COW_001,2026-02-18,22.58,5.63,327.9,26.1,38.63,56.4,1,19,0
COW_001,2026-02-19,21.36,6.12,326.5,15.4,38.67,62.9,1,20,0
COW_001,2026-02-20,20.02,5.39,334.3,22.4,38.19,59.4,1,21,0
COW_001,2026-02-21,18.91,5.03,331.9,19.1,38.39,56.3,1,22,0
COW_001,2026-02-22,22.39,5.65,342.5,21.2,38.37,55.3,1,23,0
COW_001,2026-02-23,22.85,5.93,331.2,17.1,38.48,67.1,1,24,0
COW_001,2026-02-24,21.76,5.19,353.4,22.0,38.31,57.5,1,25,0
COW_001,2026-02-25,23.07,5.83,335.6,22.7,38.21,58.2,1,26,0
COW_001,2026-02-26,23.84,5.59,348.5,18.4,38.41,60.4,1,27,0
COW_001,2026-02-27,21.67,5.79,337.6,21.1,38.39,52.7,1,28,0
COW_001,2026-02-28,21.93,5.87,346.1,20.7,38.42,54.2,1,29,0
COW_001,2026-03-01,22.74,5.57,377.2,19.3,38.6,57.5,1,30,0
COW_002,2026-01-01,28.47,5.02,231.0,22.4,38.66,81.6,0,999,0
COW_002,2026-01-02,26.38,5.57,204.5,23.1,38.78,76.7,0,999,0
COW_002,2026-01-03,29.01,6.13,264.6,16.8,38.54,70.9,0,999,0
COW_002,2026-01-04,26.46,5.51,237.0,21.7,38.7,75.1,0,999,0
COW_002,2026-01-05,23.3,7.01,162.2,19.5,39.06,72.6,0,999,1
COW_002,2026-01-06,19.96,7.64,127.1,18.7,39.45,76.2,1,1,1
COW_002,2026-01-07,12.99,9.2,118.3,17.7,40.01,75.6,1,1,1
COW_002,2026-01-08,14.46,9.1,123.3,23.1,40.04,65.8,1,1,1
COW_002,2026-01-09,20.58,7.69,159.3,17.3,39.68,76.9,1,1,1
COW_002,2026-01-10,23.4,6.88,152.9,23.4,39.24,72.0,1,1,1
COW_002,2026-01-11,27.62,5.89,223.4,16.9,38.63,79.5,1,1,0
COW_002,2026-01-12,28.63,5.77,196.9,19.6,38.85,72.0,1,2,0
COW_002,2026-01-13,25.84,6.02,246.9,22.1,38.56,70.5,1,3,0
COW_002,2026-01-14,27.4,5.63,217.0,19.9,38.91,69.5,1,4,0
COW_002,2026-01-15,26.24,5.59,247.2,25.6,38.73,77.2,1,5,0
COW_002,2026-01-16,26.43,5.79,234.6,23.3,38.67,63.5,1,6,0
COW_002,2026-01-17,28.22,5.22,196.3,23.5,38.67,74.0,1,7,0
COW_002,2026-01-18,28.26,5.97,198.8,20.0,38.78,72.5,1,8,0
COW_002,2026-01-19,27.75,5.39,196.1,24.9,38.78,73.4,1,9,0
COW_002,2026-01-20,29.1,5.71,203.3,21.6,38.47,70.7,1,10,0
COW_002,2026-01-21,29.39,6.07,225.6,24.6,38.92,70.5,1,11,0
COW_002,2026-01-22,27.34,5.66,224.9,25.8,38.71,71.4,1,12,0
COW_002,2026-01-23,25.88,6.11,230.3,24.9,38.63,72.7,1,13,0
COW_002,2026-01-24,25.06,5.9,196.8,21.4,38.82,69.1,1,14,1
COW_002,2026-01-25,25.23,6.93,201.1,23.0,38.79,72.6,1,1,1
COW_002,2026-01-26,21.91,6.93,154.3,24.7,38.88,67.2,1,1,1
COW_002,2026-01-27,24.3,6.35,171.7,21.3,38.76,61.1,1,1,1
COW_002,2026-01-28,27.92,6.45,237.2,24.5,38.81,64.1,1,1,1
COW_002,2026-01-29,27.88,6.11,193.7,25.3,38.86,59.9,1,1,0
COW_002,2026-01-30,29.11,5.39,245.0,27.2,39.05,68.6,1,2,0
COW_002,2026-01-31,28.49,5.91,200.0,24.2,38.87,72.2,1,3,0
COW_002,2026-02-01,26.32,5.83,228.6,25.9,38.38,63.0,1,4,0
COW_002,2026-02-02,28.04,6.62,182.5,24.1,38.73,56.6,1,5,0
COW_002,2026-02-03,25.22,5.39,185.4,26.1,38.8,62.7,1,6,0
COW_002,2026-02-04,28.5,5.85,203.4,20.0,38.62,58.7,1,7,0
COW_002,2026-02-05,27.88,5.39,196.2,25.6,38.74,69.4,1,8,0
COW_002,2026-02-06,26.42,5.85,243.5,23.8,39.04,58.5,1,9,0
COW_002,2026-02-07,27.96,5.93,209.3,20.9,38.63,67.6,1,10,0
COW_002,2026-02-08,29.09,5.6,221.4,24.5,38.89,60.1,1,11,0
COW_002,2026-02-09,27.23,6.23,230.4,22.4,38.76,63.7,1,12,0
COW_002,2026-02-10,26.77,5.88,212.4,24.7,38.8,56.9,1,13,0
COW_002,2026-02-11,27.43,6.04,219.6,20.9,38.94,55.7,1,14,0
COW_002,2026-02-12,27.22,5.51,226.4,22.1,38.83,56.9,1,15,0
COW_002,2026-02-13,28.84,5.76,226.2,26.1,38.82,57.2,1,16,0
COW_002,2026-02-14,26.26,6.06,197.5,20.2,38.57,54.0,1,17,0
COW_002,2026-02-15,27.62,5.59,234.5,22.2,38.75,51.1,1,18,0
COW_002,2026-02-16,27.72,5.31,220.6,22.2,38.69,52.7,1,19,0
COW_002,2026-02-17,27.82,5.55,229.5,24.4,38.7,58.2,1,20,0
COW_002,2026-02-18,28.07,5.98,210.5,26.1,38.68,56.4,1,21,0
COW_002,2026-02-19,28.12,5.24,240.1,15.4,38.7,62.9,1,22,0
COW_002,2026-02-20,27.41,5.89,228.8,22.4,38.7,59.4,1,23,0
COW_002,2026-02-21,28.61,5.47,232.9,19.1,38.57,56.3,1,24,0
COW_002,2026-02-22,28.16,5.59,196.5,21.2,38.73,55.3,1,25,0
COW_002,2026-02-23,27.51,5.16,182.1,17.1,38.68,67.1,1,26,0
COW_002,2026-02-24,29.49,5.81,208.1,22.0,38.82,57.5,1,27,0
COW_002,2026-02-25,28.64,6.15,232.4,22.7,38.81,58.2,1,28,0
COW_002,2026-02-26,28.43,5.53,190.7,18.4,38.63,60.4,1,29,0
COW_002,2026-02-27,28.88,5.57,217.5,21.1,38.55,52.7,1,30,0
COW_002,2026-02-28,26.89,5.7,229.0,20.7,38.64,54.2,1,31,0
COW_002,2026-03-01,26.92,6.0,226.0,19.3,38.75,57.5,1,32,0
COW_003,2026-01-01,30.77,4.51,234.7,22.4,38.55,81.6,0,999,0
COW_003,2026-01-02,27.89,4.77,236.0,23.1,38.83,76.7,0,999,0
COW_003,2026-01-03,29.05,5.09,250.6,16.8,38.34,70.9,0,999,0
COW_003,2026-01-04,27.08,4.77,258.3,21.7,38.51,75.1,0,999,0
COW_003,2026-01-05,29.03,4.59,211.8,19.5,38.36,72.6,0,999,0
COW_003,2026-01-06,26.99,4.3,226.2,18.7,38.57,76.2,0,999,0
COW_003,2026-01-07,28.4,4.78,238.1,17.7,38.54,75.6,0,999,0
COW_003,2026-01-08,27.19,5.2,205.0,23.1,38.48,65.8,0,999,0
COW_003,2026-01-09,28.4,5.09,255.2,17.3,38.61,76.9,0,999,0
COW_003,2026-01-10,28.8,4.69,244.6,23.4,38.72,72.0,0,999,1
COW_003,2026-01-11,23.01,5.1,225.7,16.9,38.56,79.5,1,1,1
COW_003,2026-01-12,22.35,6.28,201.6,19.6,38.75,72.0,1,1,1
COW_003,2026-01-13,21.26,5.45,177.9,22.1,38.9,70.5,1,1,1
COW_003,2026-01-14,24.25,5.34,209.7,19.9,38.7,69.5,1,1,1
COW_003,2026-01-15,26.16,5.26,222.4,25.6,38.73,77.2,1,1,1
COW_003,2026-01-16,27.61,5.42,234.7,23.3,38.55,63.5,1,1,1
COW_003,2026-01-17,28.82,5.12,237.7,23.5,38.46,74.0,1,1,0
COW_003,2026-01-18,28.18,4.78,220.2,20.0,38.63,72.5,1,2,0
COW_003,2026-01-19,27.69,5.2,230.5,24.9,38.41,73.4,1,3,0
COW_003,2026-01-20,29.16,4.35,236.2,21.6,38.41,70.7,1,4,0
COW_003,2026-01-21,30.07,4.74,214.2,24.6,38.46,70.5,1,5,0
COW_003,2026-01-22,29.78,5.14,234.8,25.8,38.43,71.4,1,6,0
COW_003,2026-01-23,30.2,4.93,259.1,24.9,38.57,72.7,1,7,0
COW_003,2026-01-24,28.31,4.87,241.5,21.4,38.41,69.1,1,8,0
COW_003,2026-01-25,29.17,4.62,249.0,23.0,38.56,72.6,1,9,0
COW_003,2026-01-26,27.67,4.28,234.0,24.7,38.54,67.2,1,10,0
COW_003,2026-01-27,29.85,4.87,261.9,21.3,38.42,61.1,1,11,0
COW_003,2026-01-28,28.31,4.35,249.1,24.5,38.53,64.1,1,12,0
COW_003,2026-01-29,26.71,4.76,240.4,25.3,38.53,59.9,1,13,0
COW_003,2026-01-30,29.29,4.26,265.2,27.2,38.63,68.6,1,14,0
COW_003,2026-01-31,26.81,4.69,242.9,24.2,38.39,72.2,1,15,0
COW_003,2026-02-01,29.57,5.28,224.0,25.9,38.61,63.0,1,16,0
COW_003,2026-02-02,29.18,5.03,233.7,24.1,38.39,56.6,1,17,0
COW_003,2026-02-03,30.02,4.33,268.2,26.1,38.63,62.7,1,18,0
COW_003,2026-02-04,28.22,5.08,235.5,20.0,38.45,58.7,1,19,0
COW_003,2026-02-05,28.12,4.03,246.5,25.6,38.36,69.4,1,20,0
COW_003,2026-02-06,27.98,4.84,226.6,23.8,38.53,58.5,1,21,0
COW_003,2026-02-07,27.48,4.57,238.6,20.9,38.36,67.6,1,22,0
COW_003,2026-02-08,30.96,4.46,260.4,24.5,38.51,60.1,1,23,0
COW_003,2026-02-09,27.05,4.29,238.8,22.4,38.61,63.7,1,24,0
COW_003,2026-02-10,31.06,4.73,214.4,24.7,38.57,56.9,1,25,0
COW_003,2026-02-11,27.94,4.82,218.7,20.9,38.23,55.7,1,26,0
COW_003,2026-02-12,30.51,4.61,236.5,22.1,38.6,56.9,1,27,0
COW_003,2026-02-13,31.19,4.94,237.5,26.1,38.62,57.2,1,28,0
COW_003,2026-02-14,28.58,4.7,238.2,20.2,38.38,54.0,1,29,0
COW_003,2026-02-15,28.96,4.82,244.9,22.2,38.54,51.1,1,30,0
COW_003,2026-02-16,27.33,5.12,256.3,22.2,38.47,52.7,1,31,0
COW_003,2026-02-17,29.48,4.61,249.2,24.4,38.43,58.2,1,32,0
COW_003,2026-02-18,30.55,4.93,248.7,26.1,38.55,56.4,1,33,0
COW_003,2026-02-19,27.24,5.0,210.8,15.4,38.59,62.9,1,34,0
COW_003,2026-02-20,28.01,4.13,235.6,22.4,38.63,59.4,1,35,0
COW_003,2026-02-21,27.78,5.25,247.4,19.1,38.5,56.3,1,36,0
COW_003,2026-02-22,28.41,4.56,243.4,21.2,38.58,55.3,1,37,0
COW_003,2026-02-23,28.22,4.41,231.8,17.1,38.65,67.1,1,38,0
COW_003,2026-02-24,27.47,5.09,236.4,22.0,38.28,57.5,1,39,0
COW_003,2026-02-25,28.38,4.9,268.1,22.7,38.33,58.2,1,40,0
COW_003,2026-02-26,25.55,4.23,256.0,18.4,38.26,60.4,1,41,0
COW_003,2026-02-27,30.73,5.11,239.1,21.1,38.4,52.7,1,42,0
COW_003,2026-02-28,29.0,4.9,243.9,20.7,38.69,54.2,1,43,0
COW_003,2026-03-01,28.62,4.23,209.0,19.3,38.28,57.5,1,44,0
COW_004,2026-01-01,19.56,5.03,225.6,22.4,38.53,81.6,0,999,0
COW_004,2026-01-02,17.99,5.32,180.7,23.1,38.52,76.7,0,999,0
COW_004,2026-01-03,20.27,4.79,232.1,16.8,38.49,70.9,0,999,0
COW_004,2026-01-04,18.78,5.31,202.0,21.7,38.68,75.1,0,999,0
COW_004,2026-01-05,19.38,5.55,228.8,19.5,38.46,72.6,0,999,0
COW_004,2026-01-06,21.4,4.76,220.9,18.7,38.7,76.2,0,999,0
COW_004,2026-01-07,17.07,5.61,204.3,17.7,38.53,75.6,0,999,0
COW_004,2026-01-08,19.67,5.09,239.2,23.1,38.42,65.8,0,999,0
COW_004,2026-01-09,20.2,5.39,243.5,17.3,38.4,76.9,0,999,0
COW_004,2026-01-10,17.56,4.99,200.5,23.4,38.4,72.0,0,999,0
COW_004,2026-01-11,18.86,5.19,275.4,16.9,38.66,79.5,0,999,0
COW_004,2026-01-12,21.43,5.09,235.1,19.6,38.57,72.0,0,999,0
COW_004,2026-01-13,22.55,4.87,215.1,22.1,38.69,70.5,0,999,0
COW_004,2026-01-14,19.58,4.96,242.3,19.9,38.58,69.5,0,999,0
COW_004,2026-01-15,19.27,5.19,193.8,25.6,38.47,77.2,0,999,0
COW_004,2026-01-16,20.63,4.87,222.6,23.3,38.81,63.5,0,999,0
COW_004,2026-01-17,19.22,5.03,241.1,23.5,38.55,74.0,0,999,0
COW_004,2026-01-18,20.77,5.41,258.0,20.0,38.51,72.5,0,999,0
COW_004,2026-01-19,20.97,5.3,201.2,24.9,38.34,73.4,0,999,0
COW_004,2026-01-20,18.37,5.21,232.9,21.6,38.58,70.7,0,999,0
COW_004,2026-01-21,19.27,5.06,243.6,24.6,38.47,70.5,0,999,0
COW_004,2026-01-22,19.65,4.82,208.7,25.8,38.81,71.4,0,999,0
COW_004,2026-01-23,18.15,5.06,260.3,24.9,38.75,72.7,0,999,0
COW_004,2026-01-24,18.78,4.98,202.9,21.4,38.75,69.1,0,999,0
COW_004,2026-01-25,20.54,5.35,239.4,23.0,38.52,72.6,0,999,0
COW_004,2026-01-26,17.47,5.3,241.0,24.7,38.84,67.2,0,999,0
COW_004,2026-01-27,19.09,4.99,220.7,21.3,38.67,61.1,0,999,0
COW_004,2026-01-28,18.99,5.09,240.0,24.5,38.56,64.1,0,999,0
COW_004,2026-01-29,21.0,5.33,191.6,25.3,38.59,59.9,0,999,0
COW_004,2026-01-30,16.9,5.04,216.0,27.2,38.79,68.6,0,999,0
COW_004,2026-01-31,18.27,5.24,235.2,24.2,38.66,72.2,0,999,0
COW_004,2026-02-01,20.7,5.83,227.0,25.9,38.72,63.0,0,999,0
COW_004,2026-02-02,18.27,4.75,243.6,24.1,38.74,56.6,0,999,0
COW_004,2026-02-03,18.09,4.65,213.3,26.1,38.65,62.7,0,999,0
COW_004,2026-02-04,18.84,5.16,241.5,20.0,38.65,58.7,0,999,0
COW_004,2026-02-05,19.63,4.39,190.7,25.6,38.6,69.4,0,999,0
COW_004,2026-02-06,18.23,5.54,203.9,23.8,38.74,58.5,0,999,0
COW_004,2026-02-07,16.13,5.2,185.1,20.9,39.02,67.6,0,999,1
COW_004,2026-02-08,13.05,6.56,151.8,24.5,39.18,60.1,1,1,1
COW_004,2026-02-09,12.24,6.91,168.6,22.4,39.18,63.7,1,1,1
COW_004,2026-02-10,14.99,6.11,168.0,24.7,39.02,56.9,1,1,1
COW_004,2026-02-11,17.9,5.6,219.8,20.9,38.82,55.7,1,1,1
COW_004,2026-02-12,19.07,4.5,215.9,22.1,38.8,56.9,1,1,0
COW_004,2026-02-13,19.74,4.88,229.5,26.1,38.75,57.2,1,2,0
COW_004,2026-02-14,18.56,5.54,233.9,20.2,38.46,54.0,1,3,0
COW_004,2026-02-15,20.35,4.96,221.8,22.2,38.47,51.1,1,4,0
COW_004,2026-02-16,20.08,5.06,237.1,22.2,38.53,52.7,1,5,0
COW_004,2026-02-17,18.53,4.85,232.1,24.4,38.56,58.2,1,6,0
COW_004,2026-02-18,19.08,4.93,232.9,26.1,38.46,56.4,1,7,0
COW_004,2026-02-19,19.62,5.71,247.3,15.4,38.52,62.9,1,8,0
COW_004,2026-02-20,19.92,5.21,251.5,22.4,38.3,59.4,1,9,0
COW_004,2026-02-21,20.66,5.01,211.6,19.1,38.5,56.3,1,10,0
COW_004,2026-02-22,17.77,4.89,205.6,21.2,38.61,55.3,1,11,0
COW_004,2026-02-23,20.03,5.02,252.0,17.1,38.52,67.1,1,12,0
COW_004,2026-02-24,18.96,4.94,235.8,22.0,38.67,57.5,1,13,0
COW_004,2026-02-25,19.92,5.06,200.9,22.7,38.57,58.2,1,14,0
COW_004,2026-02-26,21.1,5.46,230.3,18.4,38.54,60.4,1,15,0
COW_004,2026-02-27,19.31,4.98,246.5,21.1,38.49,52.7,1,16,0
COW_004,2026-02-28,20.44,4.92,248.8,20.7,38.64,54.2,1,17,0
COW_004,2026-03-01,18.43,5.0,237.8,19.3,38.53,57.5,1,18,0
COW_005,2026-01-01,29.54,5.22,338.0,22.4,38.65,81.6,0,999,0
COW_005,2026-01-02,31.27,5.35,299.1,23.1,38.34,76.7,0,999,0
COW_005,2026-01-03,31.36,5.72,324.0,16.8,38.38,70.9,0,999,0
COW_005,2026-01-04,27.4,4.86,307.4,21.7,38.35,75.1,0,999,0
COW_005,2026-01-05,28.75,5.52,324.6,19.5,38.33,72.6,0,999,0
COW_005,2026-01-06,27.95,5.16,287.6,18.7,38.48,76.2,0,999,0
COW_005,2026-01-07,29.51,6.05,319.6,17.7,38.63,75.6,0,999,0
COW_005,2026-01-08,27.83,4.26,310.7,23.1,38.45,65.8,0,999,0
COW_005,2026-01-09,29.37,5.43,286.1,17.3,38.48,76.9,0,999,0
COW_005,2026-01-10,30.4,4.98,300.0,23.4,38.4,72.0,0,999,0
COW_005,2026-01-11,28.71,4.99,306.6,16.9,38.44,79.5,0,999,0
COW_005,2026-01-12,28.78,5.01,313.7,19.6,38.32,72.0,0,999,0
COW_005,2026-01-13,29.14,5.24,328.8,22.1,38.33,70.5,0,999,0
COW_005,2026-01-14,31.58,5.66,339.1,19.9,38.49,69.5,0,999,0
COW_005,2026-01-15,29.25,5.07,300.0,25.6,38.66,77.2,0,999,0
COW_005,2026-01-16,29.46,5.63,310.1,23.3,38.47,63.5,0,999,0
COW_005,2026-01-17,29.34,5.71,286.4,23.5,38.44,74.0,0,999,0
COW_005,2026-01-18,29.37,5.59,292.8,20.0,38.5,72.5,0,999,0
COW_005,2026-01-19,25.32,5.67,282.7,24.9,38.55,73.4,0,999,1
COW_005,2026-01-20,23.46,6.08,236.5,21.6,38.82,70.7,1,1,1
COW_005,2026-01-21,17.24,7.48,235.7,24.6,39.03,70.5,1,1,1
COW_005,2026-01-22,18.75,8.2,195.3,25.8,39.38,71.4,1,1,1
COW_005,2026-01-23,22.78,6.8,272.8,24.9,38.86,72.7,1,1,1
COW_005,2026-01-24,27.01,6.4,265.6,21.4,38.55,69.1,1,1,1
COW_005,2026-01-25,29.24,5.33,286.9,23.0,38.35,72.6,1,1,0
COW_005,2026-01-26,25.35,5.28,322.4,24.7,38.26,67.2,1,2,0
COW_005,2026-01-27,28.96,6.25,305.9,21.3,38.57,61.1,1,3,0
COW_005,2026-01-28,28.3,5.55,285.1,24.5,38.51,64.1,1,4,0
COW_005,2026-01-29,30.52,5.61,300.1,25.3,38.51,59.9,1,5,0
COW_005,2026-01-30,29.85,5.63,304.1,27.2,38.63,68.6,1,6,0
COW_005,2026-01-31,31.23,5.28,307.2,24.2,38.35,72.2,1,7,0
COW_005,2026-02-01,29.92,5.52,307.4,25.9,38.5,63.0,1,8,0
COW_005,2026-02-02,31.82,4.39,297.4,24.1,38.41,56.6,1,9,0
COW_005,2026-02-03,31.26,5.56,315.3,26.1,38.64,62.7,1,10,0
COW_005,2026-02-04,29.3,5.62,296.8,20.0,38.28,58.7,1,11,0
COW_005,2026-02-05,31.67,5.52,318.0,25.6,38.35,69.4,1,12,0
COW_005,2026-02-06,30.12,6.02,301.4,23.8,38.3,58.5,1,13,0
COW_005,2026-02-07,29.73,5.03,278.3,20.9,38.32,67.6,1,14,0
COW_005,2026-02-08,28.92,5.05,330.2,24.5,38.69,60.1,1,15,0
COW_005,2026-02-09,30.25,5.53,303.8,22.4,38.31,63.7,1,16,0
COW_005,2026-02-10,31.44,5.37,298.0,24.7,38.59,56.9,1,17,0
COW_005,2026-02-11,29.42,5.74,299.0,20.9,38.53,55.7,1,18,0
COW_005,2026-02-12,30.69,5.86,293.6,22.1,38.4,56.9,1,19,0
COW_005,2026-02-13,31.85,5.31,320.9,26.1,38.77,57.2,1,20,0
COW_005,2026-02-14,26.78,5.44,301.1,20.2,38.23,54.0,1,21,0
COW_005,2026-02-15,28.45,5.2,316.5,22.2,38.24,51.1,1,22,0
COW_005,2026-02-16,30.01,5.89,272.5,22.2,38.67,52.7,1,23,1
COW_005,2026-02-17,27.27,5.81,268.5,24.4,38.74,58.2,1,1,1
COW_005,2026-02-18,24.54,5.89,239.2,26.1,38.76,56.4,1,1,1
COW_005,2026-02-19,23.0,6.65,272.2,15.4,38.79,62.9,1,1,1
COW_005,2026-02-20,23.9,6.48,268.1,22.4,38.82,59.4,1,1,1
COW_005,2026-02-21,25.71,5.78,281.6,19.1,38.62,56.3,1,1,1
COW_005,2026-02-22,28.62,5.92,274.9,21.2,38.48,55.3,1,1,1
COW_005,2026-02-23,28.69,5.88,346.9,17.1,38.36,67.1,1,1,0
COW_005,2026-02-24,29.31,5.69,293.6,22.0,38.51,57.5,1,2,0
COW_005,2026-02-25,29.49,4.79,282.9,22.7,38.38,58.2,1,3,0
COW_005,2026-02-26,30.98,5.08,296.7,18.4,38.44,60.4,1,4,0
COW_005,2026-02-27,27.51,5.5,278.6,21.1,38.48,52.7,1,5,0
COW_005,2026-02-28,28.54,5.07,311.3,20.7,38.51,54.2,1,6,0
COW_005,2026-03-01,29.96,5.47,310.3,19.3,38.46,57.5,1,7,0
COW_006,2026-01-01,30.35,5.06,284.7,22.4,37.96,81.6,0,999,0
COW_006,2026-01-02,31.12,5.47,312.2,23.1,38.13,76.7,0,999,0
COW_006,2026-01-03,30.9,4.65,289.9,16.8,38.19,70.9,0,999,0
COW_006,2026-01-04,31.62,5.24,266.8,21.7,37.91,75.1,0,999,0
COW_006,2026-01-05,28.61,5.19,241.4,19.5,37.95,72.6,0,999,0
COW_006,2026-01-06,29.92,5.22,255.5,18.7,37.9,76.2,0,999,0
COW_006,2026-01-07,28.51,5.12,311.3,17.7,38.17,75.6,0,999,0
COW_006,2026-01-08,30.07,5.39,291.2,23.1,38.15,65.8,0,999,0
COW_006,2026-01-09,29.44,4.9,270.7,17.3,38.16,76.9,0,999,0
COW_006,2026-01-10,29.49,4.81,241.9,23.4,38.06,72.0,0,999,0
COW_006,2026-01-11,28.58,5.04,299.2,16.9,38.04,79.5,0,999,0
COW_006,2026-01-12,28.91,5.31,307.5,19.6,38.03,72.0,0,999,0
COW_006,2026-01-13,26.98,5.42,279.2,22.1,38.06,70.5,0,999,0
COW_006,2026-01-14,29.55,4.91,300.2,19.9,37.82,69.5,0,999,0
COW_006,2026-01-15,29.44,5.08,288.3,25.6,38.26,77.2,0,999,0
COW_006,2026-01-16,29.54,5.26,277.9,23.3,38.2,63.5,0,999,0
COW_006,2026-01-17,31.05,5.01,280.8,23.5,38.12,74.0,0,999,0
COW_006,2026-01-18,29.67,5.33,273.3,20.0,38.06,72.5,0,999,0
COW_006,2026-01-19,28.18,4.88,287.7,24.9,37.96,73.4,0,999,0
COW_006,2026-01-20,30.37,5.17,291.5,21.6,38.12,70.7,0,999,0
COW_006,2026-01-21,29.27,5.12,237.2,24.6,38.08,70.5,0,999,0
COW_006,2026-01-22,28.29,5.12,261.5,25.8,38.02,71.4,0,999,0
COW_006,2026-01-23,31.23,4.75,255.6,24.9,38.02,72.7,0,999,0
COW_006,2026-01-24,29.23,4.89,266.5,21.4,38.08,69.1,0,999,0
COW_006,2026-01-25,30.61,5.41,238.6,23.0,38.11,72.6,0,999,0
COW_006,2026-01-26,30.34,4.97,303.0,24.7,38.23,67.2,0,999,0
COW_006,2026-01-27,29.59,4.99,302.7,21.3,38.04,61.1,0,999,0
COW_006,2026-01-28,29.91,5.22,314.4,24.5,38.07,64.1,0,999,0
COW_006,2026-01-29,29.78,4.91,265.9,25.3,37.99,59.9,0,999,0
